"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the total expenses are updated correctly, and that the new record can be isolated using set theory (Set Difference).","186","E2E_05: API & DB Data Integrity: Set Theory & ACID","tests.api","Sun Apr 12 21:02:41 UTC 2026","passed","Sun Apr 12 21:02:41 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5088","Create multiple expenses via DDT","tests.web","Sun Apr 12 21:03:37 UTC 2026","passed","Sun Apr 12 21:03:42 UTC 2026","TestWeb","test_web_expense","",""
"Reads a complete record from SQLite and injects it into the expense tracker website.","5151","Web & DB: Inject full DB data to Web UI","tests.web","Sun Apr 12 21:03:05 UTC 2026","passed","Sun Apr 12 21:03:10 UTC 2026","TestDBWeb","test_db_web_expense","",""
"Adds a temporary expense, clicks its delete button, and verifies it is removed from the list","6127","Verify deletion of an expense","tests.web","Sun Apr 12 21:04:05 UTC 2026","passed","Sun Apr 12 21:04:11 UTC 2026","TestWeb","test_web_expense","",""
"Adds an expense, reloads the page, and verifies the expense is still displayed (checks LocalStorage)","6664","Verify data persistence after page reload","tests.web","Sun Apr 12 21:04:16 UTC 2026","passed","Sun Apr 12 21:04:23 UTC 2026","TestWeb","test_web_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","14","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Deletes an expense via the API and verifies that the record is removed from SQLite. Verifies that the API delete is synchronized with the data layer.","99","E2E_04: API → DB | DELETE removes record from SQLite","tests.api","Sun Apr 12 21:02:41 UTC 2026","passed","Sun Apr 12 21:02:41 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Creates an output via the API and verifies that the record appeared in SQLite without writing directly to the DB. Verifies that the API is actually writing to the data layer.","119","E2E_01: API → DB | POST creates record in SQLite","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:41 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Injects a record directly into SQLite and verifies that the API returns it. Verifies that the API reads the data from the DB correctly.","95","E2E_02: DB → API | INSERT in SQLite is readable via GET","tests.api","Sun Apr 12 21:02:41 UTC 2026","passed","Sun Apr 12 21:02:41 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"GET a single expense by ID and verify status code","5","API_04: Get Single Expense by ID (Status 200)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","10","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","12","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Attempt to access an API address that does not exist and appropriate error validation.","5","API_10: Negative - Bad Route / Endpoint","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","12","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Boundary test: Adds an expense with a 100-character description to ensure the UI handles it correctly","5110","Verify creation of expense with a very long description","tests.web","Sun Apr 12 21:04:11 UTC 2026","skipped","Sun Apr 12 21:04:16 UTC 2026","TestWeb","test_web_expense","",""
"Negative test: System accepts -50 as valid amount - this is a bug. Expected: validation alert. Actual: expense is created.","8088","BUG: Verify negative amount input is accepted (should be blocked)","tests.web","Sun Apr 12 21:03:57 UTC 2026","skipped","Sun Apr 12 21:04:05 UTC 2026","TestWeb","test_web_expense","",""
"Updates an existing expense via the API and verifies that the change is saved in SQLite. Verifies that the API update is synchronized with the data layer.","133","E2E_03: API → DB | PUT updates record in SQLite","tests.api","Sun Apr 12 21:02:41 UTC 2026","passed","Sun Apr 12 21:02:41 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5089","Create multiple expenses via DDT","tests.web","Sun Apr 12 21:03:31 UTC 2026","passed","Sun Apr 12 21:03:37 UTC 2026","TestWeb","test_web_expense","",""
"","7391","test_e2e_complete_lifecycle_bulletproof","tests.web","Sun Apr 12 21:03:12 UTC 2026","passed","Sun Apr 12 21:03:19 UTC 2026","TestE2ELifecycleWeb","test_e2e_web_expense","",""
"This test verifies that adding new expenses properly increases the total number of items in the DOM","10146","Verify expense list count","tests.web","Sun Apr 12 21:03:42 UTC 2026","passed","Sun Apr 12 21:03:52 UTC 2026","TestWeb","test_web_expense","",""
"Negative test: Tries to add an expense without entering an amount and verifies it isn't added","5084","Verify creation of expense with empty amount is prevented","tests.web","Sun Apr 12 21:04:23 UTC 2026","passed","Sun Apr 12 21:04:28 UTC 2026","TestWeb","test_web_expense","",""
"Attempting to retrieve a deleted expense and getting a 404 error","6","API_07: Negative - Get Deleted Expense","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Creates an expense with a 300-character name via Web UI. The UI accepts it without limit. Then attempts to INSERT into MySQL where expense_name is VARCHAR(255) — expecting truncation or rejection. Severity: Medium — silent data loss if DB truncates without error.","5242","E2E Boundary: 300-char expense name exceeds MySQL VARCHAR(255)","tests","Sun Apr 12 21:02:49 UTC 2026","passed","Sun Apr 12 21:02:54 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"Attempt to delete an ID that does not exist in the system (404)","6","API_08: Negative - Delete Invalid ID","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"GET all expenses and verifying receipt of a proper data set","10","API_01: Get All Expenses (Status 200)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5088","Create multiple expenses via DDT","tests.web","Sun Apr 12 21:03:26 UTC 2026","passed","Sun Apr 12 21:03:31 UTC 2026","TestWeb","test_web_expense","",""
"Intentionally fails to demonstrate the global AI error analysis hook","3007","AI Failure Analysis Test (Global Hook Demo)","tests.web","Sun Apr 12 21:04:28 UTC 2026","skipped","Sun Apr 12 21:04:31 UTC 2026","TestWeb","test_web_expense","",""
