"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates an expense with a 300-character name via Web UI. The UI accepts it without limit. Then attempts to INSERT into MySQL where expense_name is VARCHAR(255) — expecting truncation or rejection. Severity: Medium — silent data loss if DB truncates without error.","5242","E2E Boundary: 300-char expense name exceeds MySQL VARCHAR(255)","tests","Fri Apr 10 20:21:01 UTC 2026","passed","Fri Apr 10 20:21:06 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"This test verifies that adding new expenses properly increases the total number of items in the DOM","10161","Verify expense list count","tests.web","Fri Apr 10 20:21:53 UTC 2026","passed","Fri Apr 10 20:22:03 UTC 2026","TestWeb","test_web_expense","",""
"Creates an expense with a negative amount (-50) on the Web UI. The UI accepts it (bug). Then attempts to INSERT the extracted data into MySQL, which rejects it via CHECK (amount >= 0) constraint.","5286","E2E Negative: Web UI accepts negative amount → MySQL blocks INSERT","tests","Fri Apr 10 20:20:56 UTC 2026","passed","Fri Apr 10 20:21:01 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"Creates an output via the API and verifies that the record appeared in SQLite without writing directly to the DB. Verifies that the API is actually writing to the data layer.","119","E2E_01: API → DB | POST creates record in SQLite","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:53 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Injects a record directly into SQLite and verifies that the API returns it. Verifies that the API reads the data from the DB correctly.","94","E2E_02: DB → API | INSERT in SQLite is readable via GET","tests.api","Fri Apr 10 20:20:53 UTC 2026","passed","Fri Apr 10 20:20:53 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"send POST request to create a new expense and verify the response and status code.","14","API_02: Create New Expense (Status 201)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Intentionally fails to demonstrate the global AI error analysis hook","3007","AI Failure Analysis Test (Global Hook Demo)","tests.web","Fri Apr 10 20:22:39 UTC 2026","skipped","Fri Apr 10 20:22:42 UTC 2026","TestWeb","test_web_expense","",""
"GET all expenses and verifying receipt of a proper data set","9","API_01: Get All Expenses (Status 200)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5104","Create multiple expenses via DDT","tests.web","Fri Apr 10 20:21:37 UTC 2026","passed","Fri Apr 10 20:21:42 UTC 2026","TestWeb","test_web_expense","",""
"Attempting to create an expense without required fields and validation the server returns an error","10","BUG: API_09: Negative - Create Expense with Missing Fields","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Update the amount of an existing expense from 150 to 200 using PUT","7","API_05: Update Expense (PUT)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","11","API_03: Data Driven Testing (Multiple Items)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Deletes an expense via the API and verifies that the record is removed from SQLite. Verifies that the API delete is synchronized with the data layer.","96","E2E_04: API → DB | DELETE removes record from SQLite","tests.api","Fri Apr 10 20:20:53 UTC 2026","passed","Fri Apr 10 20:20:53 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","11","API_03: Data Driven Testing (Multiple Items)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Delete an expense using DELETE on its ID","6","API_06: Delete Expense","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Negative test: System accepts -50 as valid amount - this is a bug. Expected: validation alert. Actual: expense is created.","8087","BUG: Verify negative amount input is accepted (should be blocked)","tests.web","Fri Apr 10 20:22:08 UTC 2026","skipped","Fri Apr 10 20:22:16 UTC 2026","TestWeb","test_web_expense","",""
"Creates an expense via API, simulates backend write to SQLite, verifies data integrity across layers, and cleans up.","136","API → DB: Create expense via API and verify in SQLite","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestDBAPI","test_db_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","11","API_03: Data Driven Testing (Multiple Items)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Reads a complete record from SQLite and injects it into the expense tracker website.","5156","Web & DB: Inject full DB data to Web UI","tests.web","Fri Apr 10 20:21:16 UTC 2026","passed","Fri Apr 10 20:21:21 UTC 2026","TestDBWeb","test_db_web_expense","",""
"Attempt to access an API address that does not exist and appropriate error validation.","4","API_10: Negative - Bad Route / Endpoint","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Adds an expense, reloads the page, and verifies the expense is still displayed (checks LocalStorage)","6599","Verify data persistence after page reload","tests.web","Fri Apr 10 20:22:27 UTC 2026","passed","Fri Apr 10 20:22:34 UTC 2026","TestWeb","test_web_expense","",""
"","7362","test_e2e_complete_lifecycle_bulletproof","tests.web","Fri Apr 10 20:21:23 UTC 2026","passed","Fri Apr 10 20:21:30 UTC 2026","TestE2ELifecycleWeb","test_e2e_web_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","12","API_03: Data Driven Testing (Multiple Items)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Boundary test: Adds an expense with a 100-character description to ensure the UI handles it correctly","5115","Verify creation of expense with a very long description","tests.web","Fri Apr 10 20:22:22 UTC 2026","skipped","Fri Apr 10 20:22:27 UTC 2026","TestWeb","test_web_expense","",""
