"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Updates an existing expense via the API and verifies that the change is saved in SQLite. Verifies that the API update is synchronized with the data layer.","90","E2E_03: API → DB | PUT updates record in SQLite","tests.api","Sun May 10 14:59:59 UTC 2026","passed","Sun May 10 14:59:59 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","11","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Creates an expense on the web UI, reads it back from the DOM elements, then POSTs to JSON server and INSERTs to SQLite using the extracted data.","7839","E2E: Web UI → Extract Data → Insert to API + DB","tests","Sun May 10 15:00:16 UTC 2026","passed","Sun May 10 15:00:23 UTC 2026","TestE2EWebApiDbExpenseTracker","test_e2e_web_api_db","",""
"Boundary test: Adds an expense with a 100-character description to ensure the UI handles it correctly","5079","Verify creation of expense with a very long description","tests.web","Sun May 10 15:01:32 UTC 2026","skipped","Sun May 10 15:01:38 UTC 2026","TestWeb","test_web_expense","",""
"Attempt to delete an ID that does not exist in the system (404)","5","API_08: Negative - Delete Invalid ID","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Creates an output via the API and verifies that the record appeared in SQLite without writing directly to the DB. Verifies that the API is actually writing to the data layer.","93","E2E_01: API → DB | POST creates record in SQLite","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"This test verifies that adding new expenses properly increases the total number of items in the DOM","10133","Verify expense list count","tests.web","Sun May 10 15:01:03 UTC 2026","passed","Sun May 10 15:01:13 UTC 2026","TestWeb","test_web_expense","",""
"Delete an expense using DELETE on its ID","5","API_06: Delete Expense","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","8","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"send POST request to create a new expense and verify the response and status code.","12","API_02: Create New Expense (Status 201)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Attempting to create an expense without required fields and validation the server returns an error","9","BUG: API_09: Negative - Create Expense with Missing Fields","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5075","Create multiple expenses via DDT","tests.web","Sun May 10 15:00:58 UTC 2026","passed","Sun May 10 15:01:03 UTC 2026","TestWeb","test_web_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","10","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Creates an expense with a 300-character name via Web UI. The UI accepts it without limit. Then attempts to INSERT into MySQL where expense_name is VARCHAR(255) — expecting truncation or rejection. Severity: Medium — silent data loss if DB truncates without error.","5176","E2E Boundary: 300-char expense name exceeds MySQL VARCHAR(255)","tests","Sun May 10 15:00:08 UTC 2026","passed","Sun May 10 15:00:13 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"Adds a temporary expense, clicks its delete button, and verifies it is removed from the list","6085","Verify deletion of an expense","tests.web","Sun May 10 15:01:26 UTC 2026","passed","Sun May 10 15:01:32 UTC 2026","TestWeb","test_web_expense","",""
"GET all expenses and verifying receipt of a proper data set","8","API_01: Get All Expenses (Status 200)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5075","Create multiple expenses via DDT","tests.web","Sun May 10 15:00:53 UTC 2026","passed","Sun May 10 15:00:58 UTC 2026","TestWeb","test_web_expense","",""
"Verifies that the total expenses are updated correctly, and that the new record can be isolated using set theory (Set Difference).","123","E2E_05: API & DB Data Integrity: Set Theory & ACID","tests.api","Sun May 10 14:59:59 UTC 2026","passed","Sun May 10 14:59:59 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Creates an expense via API, simulates backend write to SQLite, verifies data integrity across layers, and cleans up.","95","API → DB: Create expense via API and verify in SQLite","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestDBAPI","test_db_api_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5089","Create multiple expenses via DDT","tests.web","Sun May 10 15:00:48 UTC 2026","passed","Sun May 10 15:00:53 UTC 2026","TestWeb","test_web_expense","",""
"This test verifies that a new expense can be added to the tracker","5091","Create a new expense via Web UI","tests.web","Sun May 10 15:00:43 UTC 2026","passed","Sun May 10 15:00:48 UTC 2026","TestWeb","test_web_expense","",""
"Attempting to retrieve a deleted expense and getting a 404 error","5","API_07: Negative - Get Deleted Expense","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Intentionally fails to demonstrate the global AI error analysis hook","3006","AI Failure Analysis Test (Global Hook Demo)","tests.web","Sun May 10 15:01:49 UTC 2026","skipped","Sun May 10 15:01:52 UTC 2026","TestWeb","test_web_expense","",""
"","7362","test_e2e_complete_lifecycle_bulletproof","tests.web","Sun May 10 15:00:33 UTC 2026","passed","Sun May 10 15:00:40 UTC 2026","TestE2ELifecycleWeb","test_e2e_web_expense","",""
"Update the amount of an existing expense from 150 to 200 using PUT","5","API_05: Update Expense (PUT)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","10","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"GET a single expense by ID and verify status code","5","API_04: Get Single Expense by ID (Status 200)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
